STAT: 2018/07/14 21:23:23 start_testing.go:374: Warm Up is started
STAT: 2018/07/14 21:23:30 start_testing.go:389: [MAIN] Warm up has been done
STAT: 2018/07/14 21:23:30 start_testing.go:401: [MAIN] Load tests with a large number of clients has been started
STAT: 2018/07/14 21:23:35 start_testing.go:421: [MAIN] New clients was added. Current clients number: 20
STAT: 2018/07/14 21:23:40 start_testing.go:421: [MAIN] New clients was added. Current clients number: 30
STAT: 2018/07/14 21:23:45 start_testing.go:421: [MAIN] New clients was added. Current clients number: 40
STAT: 2018/07/14 21:23:50 start_testing.go:421: [MAIN] New clients was added. Current clients number: 50
STAT: 2018/07/14 21:23:55 start_testing.go:421: [MAIN] New clients was added. Current clients number: 60
STAT: 2018/07/14 21:24:00 start_testing.go:421: [MAIN] New clients was added. Current clients number: 70
STAT: 2018/07/14 21:24:05 start_testing.go:421: [MAIN] New clients was added. Current clients number: 80
STAT: 2018/07/14 21:24:10 start_testing.go:421: [MAIN] New clients was added. Current clients number: 90
STAT: 2018/07/14 21:24:15 start_testing.go:421: [MAIN] New clients was added. Current clients number: 100
STAT: 2018/07/14 21:24:20 start_testing.go:421: [MAIN] New clients was added. Current clients number: 110
STAT: 2018/07/14 21:24:25 start_testing.go:421: [MAIN] New clients was added. Current clients number: 120
STAT: 2018/07/14 21:24:30 start_testing.go:421: [MAIN] New clients was added. Current clients number: 130
STAT: 2018/07/14 21:24:35 start_testing.go:421: [MAIN] New clients was added. Current clients number: 140
STAT: 2018/07/14 21:24:40 start_testing.go:421: [MAIN] New clients was added. Current clients number: 150
STAT: 2018/07/14 21:24:45 start_testing.go:421: [MAIN] New clients was added. Current clients number: 160
STAT: 2018/07/14 21:24:50 start_testing.go:421: [MAIN] New clients was added. Current clients number: 170
STAT: 2018/07/14 21:24:55 start_testing.go:421: [MAIN] New clients was added. Current clients number: 180
STAT: 2018/07/14 21:25:00 start_testing.go:421: [MAIN] New clients was added. Current clients number: 190
STAT: 2018/07/14 21:25:05 start_testing.go:421: [MAIN] New clients was added. Current clients number: 200
STAT: 2018/07/14 21:25:10 start_testing.go:421: [MAIN] New clients was added. Current clients number: 210
STAT: 2018/07/14 21:25:15 start_testing.go:421: [MAIN] New clients was added. Current clients number: 220
STAT: 2018/07/14 21:25:20 start_testing.go:421: [MAIN] New clients was added. Current clients number: 230
STAT: 2018/07/14 21:25:25 start_testing.go:421: [MAIN] New clients was added. Current clients number: 240
STAT: 2018/07/14 21:25:30 start_testing.go:421: [MAIN] New clients was added. Current clients number: 250
STAT: 2018/07/14 21:25:35 start_testing.go:421: [MAIN] New clients was added. Current clients number: 260
STAT: 2018/07/14 21:25:40 start_testing.go:421: [MAIN] New clients was added. Current clients number: 270
STAT: 2018/07/14 21:25:45 start_testing.go:421: [MAIN] New clients was added. Current clients number: 280
STAT: 2018/07/14 21:25:50 start_testing.go:421: [MAIN] New clients was added. Current clients number: 290
STAT: 2018/07/14 21:25:55 start_testing.go:421: [MAIN] New clients was added. Current clients number: 300
STAT: 2018/07/14 21:25:55 start_testing.go:405: [MAIN] Reached clients limit. Stopping creating new clients...
STAT: 2018/07/14 21:25:59 start_testing.go:428: [MAIN] Load tests with a large number of clients has been done
STAT: 2018/07/14 21:25:59 start_testing.go:429: [MAIN] Load tests with a large number of clients statistics:
STAT: 2018/07/14 21:25:59 start_testing.go:472: Sent requests count: 599310
STAT: 2018/07/14 21:25:59 start_testing.go:474: Error statistics: 0 errors occurred during get items tests, 0 errors occurred during buy items tests
STAT: 2018/07/14 21:25:59 start_testing.go:482: General requests statistics:
STAT: 2018/07/14 21:25:59 start_testing.go:488: Average response time:	8.033418 ms
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:22	80513
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:23	82826
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:24	84588
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:25	87403
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:26	92318
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:27	95753
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:29	98661
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:30	100533
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:31	104748
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:32	109019
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:33	112684
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:34	116058
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:35	118527
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:36	123159
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:37	127612
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:38	131588
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:39	134780
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:40	138060
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:41	142558
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:42	147018
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:43	151245
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:44	155305
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:45	158248
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:46	163484
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:47	168314
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:48	172848
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:49	177325
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:50	179835
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:51	184780
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:52	190949
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:53	196837
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:54	200020
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:55	203444
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:56	208961
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:57	214438
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:58	220381
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:24:59	224293
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:25:00	227752
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:25:01	233737
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:25:02	239613
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:25:03	245197
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:25:04	249931
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:25:05	252773
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:25:06	259325
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:25:07	265458
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:25:08	271519
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:25:09	277084
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:25:10	280323
STAT: 2018/07/14 21:26:00 start_testing.go:529: 21:25:11	286484
